Row_ID,Order_ID,Order_Date,Order_Priority,Order_Quantity,Sales,Discount,Ship_Mode,Profit,Unit_Price,Shipping_Cost,Customer_Name,Province,Region,Customer_Segment,Product_Category,Product_Sub_Category,Product_Name,Product_Container,Product_Base_Margin,Ship_Date,Status
1,3,2010-10-13,Low,6,261.5400000000,0.0400000000,Regular Air,-213.2500000000,38.9400000000,35.0000000000,Muhammed MacIntyre,Nunavut,Nunavut,Small Business,Office Supplies,Storage & Organization,"Eldon Base for stackable storage shelf, platinum",Large Box,0.8000000000,2010-10-20,Not Returned
2,6,2012-02-20,Not Specified,2,6.9300000000,0.0100000000,Regular Air,-4.6400000000,2.0800000000,2.5600000000,Ruben Dartt,Alberta,West,Corporate,Office Supplies,"Scissors, Rulers and Trimmers",Kleencut® Forged Office Shears by Acme United Corporation,Small Pack,0.5500000000,2012-02-21,Not Returned
3,32,2011-07-15,High,26,2808.0800000000,0.0700000000,Regular Air,1054.8200000000,107.5300000000,5.8100000000,Liz Pelletier,Alberta,West,Corporate,Furniture,Office Furnishings,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",Medium Box,0.6500000000,2011-07-17,Not Returned
4,32,2011-07-15,High,24,1761.4000000000,0.0900000000,Delivery Truck,-1748.5600000000,70.8900000000,89.3000000000,Liz Pelletier,Alberta,West,Corporate,Furniture,Tables,KI Conference Tables,Jumbo Box,0.7200000000,2011-07-16,Not Returned
5,32,2011-07-15,High,23,160.2335000000,0.0400000000,Regular Air,-85.1300000000,7.9900000000,5.0300000000,Liz Pelletier,Alberta,West,Corporate,Technology,Telephones and Communication,Bell Sonecor JB700 Caller ID,Medium Box,0.6000000000,2011-07-17,Not Returned
6,32,2011-07-15,High,15,140.5600000000,0.0400000000,Regular Air,-128.3800000000,8.4600000000,8.9900000000,Liz Pelletier,Saskachewan,Prarie,Corporate,Technology,Computer Peripherals,"Imation 3.5 IBM Diskettes, 10/Box",Small Pack,0.7900000000,2011-07-16,Not Returned
7,35,2011-10-22,Not Specified,30,288.5600000000,0.0300000000,Regular Air,60.7200000000,9.1100000000,2.2500000000,Julie Creighton,British Columbia,West,Corporate,Office Supplies,Pens & Art Supplies,Dixon Ticonderoga Core-Lock Colored Pencils,Wrap Bag,0.5200000000,2011-10-23,Not Returned
8,35,2011-10-22,Not Specified,14,1892.8480000000,0.0100000000,Regular Air,48.9900000000,155.9900000000,8.9900000000,Julie Creighton,British Columbia,West,Corporate,Technology,Telephones and Communication,CF 688,Small Box,0.5800000000,2011-10-24,Not Returned
9,36,2011-11-02,Critical,46,2484.7455000000,0.1000000000,Regular Air,657.4800000000,65.9900000000,4.2000000000,Sample Company A,Alberta,West,Home Office,Technology,Telephones and Communication,6162i,Small Box,0.5500000000,2011-11-02,Not Returned
10,65,2011-03-17,Critical,32,3812.7300000000,0.0200000000,Regular Air,1470.3000000000,115.7900000000,1.9900000000,Tamara Dahlen,Ontario,Ontario,Corporate,Technology,Computer Peripherals,"Verbatim DVD-R, 4.7GB, Spindle, WE, Blank, Ink Jet/Thermal, 20/Spindle",Small Pack,0.4900000000,2011-03-18,Returned
11,66,2009-01-19,Low,41,108.1500000000,0.0900000000,Regular Air,7.5700000000,2.8800000000,0.7000000000,Arthur Gainer,Alberta,West,Consumer,Office Supplies,Pens & Art Supplies,Newell 340,Wrap Bag,0.5600000000,2009-01-19,Not Returned
12,69,2009-06-03,Not Specified,42,1186.0600000000,0.0900000000,Regular Air,511.6900000000,30.9300000000,3.9200000000,Jonathan Doherty,Saskachewan,Prarie,Corporate,Furniture,Office Furnishings,"Advantus Employee of the Month Certificate Frame, 11 x 13-1/2",Small Pack,0.4400000000,2009-06-05,Returned
13,69,2009-06-03,Not Specified,28,51.5300000000,0.0300000000,Express Air,0.3500000000,1.6800000000,0.7000000000,Jonathan Doherty,Saskachewan,Prarie,Corporate,Office Supplies,Pens & Art Supplies,Newell 308,Wrap Bag,0.6000000000,2009-06-05,Returned
14,70,2010-12-17,Low,48,90.0500000000,0.0300000000,Regular Air,-107.0000000000,1.8600000000,2.5800000000,Helen Wasserman,Quebec,Quebec,Home Office,Office Supplies,Rubber Bands,"Super Bands, 12/Pack",Wrap Bag,0.8200000000,2010-12-22,Not Returned
15,70,2010-12-17,Low,46,7804.5300000000,0.0500000000,Regular Air,2057.1700000000,205.9900000000,5.9900000000,Helen Wasserman,Quebec,Quebec,Home Office,Technology,Telephones and Communication,3285,Small Box,0.5900000000,2010-12-22,Not Returned
16,96,2009-04-16,High,37,4158.1235000000,0.0100000000,Regular Air,1228.8900000000,125.9900000000,8.9900000000,Keith Dawkins,Manitoba,Prarie,Home Office,Technology,Telephones and Communication,SC7868i,Small Box,0.5500000000,2009-04-18,Not Returned
17,97,2010-01-28,Medium,26,75.5700000000,0.0300000000,Regular Air,28.2400000000,2.8900000000,0.5000000000,Craig Yedwab,Yukon,Yukon,Consumer,Office Supplies,Labels,Avery 498,Small Box,0.3800000000,2010-01-29,Not Returned
18,129,2012-11-18,Low,4,32.7200000000,0.0900000000,Regular Air,-22.5900000000,6.4800000000,8.1900000000,Pauline Chand,Ontario,Ontario,Corporate,Office Supplies,Paper,Xerox 217,Small Box,0.3700000000,2012-11-27,Not Returned
19,130,2012-05-07,High,3,461.8900000000,0.0500000000,Express Air,-309.8200000000,150.9800000000,13.9900000000,Roy Collins,Saskachewan,Prarie,Corporate,Technology,Office Machines,Canon MP41DH Printing Calculator,Medium Box,0.3800000000,2012-05-09,Not Returned
20,130,2012-05-07,High,29,575.1100000000,0.0200000000,Regular Air,71.7500000000,18.9700000000,9.0300000000,Roy Collins,Saskachewan,Prarie,Corporate,Office Supplies,Paper,Computer Printout Paper with Letter-Trim Perforations,Small Box,0.3700000000,2012-05-08,Not Returned
21,130,2012-05-07,High,23,236.4600000000,0.0500000000,Regular Air,-134.3100000000,9.7100000000,9.4500000000,Roy Collins,Saskachewan,Prarie,Corporate,Office Supplies,Storage & Organization,Filing/Storage Totes and Swivel Casters,Small Box,0.6000000000,2012-05-10,Not Returned
22,132,2010-06-10,Medium,27,192.8140000000,0.0300000000,Regular Air,-86.2000000000,7.9900000000,5.0300000000,Emily Phan,Quebec,Quebec,Consumer,Technology,Telephones and Communication,Bell Sonecor JB700 Caller ID,Medium Box,0.6000000000,2010-06-11,Not Returned
23,132,2010-06-10,Medium,30,4011.6500000000,0.0500000000,Delivery Truck,-603.8000000000,130.9800000000,54.7400000000,Emily Phan,Nova Scotia,Atlantic,Consumer,Furniture,Bookcases,"O'Sullivan Elevations Bookcase, Cherry Finish",Jumbo Box,0.6900000000,2010-06-13,Not Returned
24,134,2012-04-30,Not Specified,11,1132.6000000000,0.0100000000,Regular Air,-310.2100000000,95.9900000000,35.0000000000,Michael Dominguez,Ontario,Ontario,Home Office,Office Supplies,Storage & Organization,Safco Industrial Wire Shelving,Large Box,0.0000000000,2012-05-02,Returned
25,135,2011-10-20,Not Specified,25,125.8500000000,0.0900000000,Regular Air,-89.2500000000,4.9800000000,4.6200000000,Anne Pryor,Quebec,Quebec,Consumer,Technology,Computer Peripherals,"Imation 3.5"", DISKETTE 44766 HGHLD3.52HD/FM, 10/Pack",Small Pack,0.6400000000,2011-10-22,Returned
26,166,2011-09-11,High,10,567.9360000000,0.0200000000,Express Air,-126.0900000000,65.9900000000,8.9900000000,Valerie Takahito,Manitoba,Prarie,Consumer,Technology,Telephones and Communication,i270,Small Box,0.5500000000,2011-09-13,Not Returned
27,193,2010-08-07,Critical,14,174.8900000000,0.0600000000,Regular Air,-37.0400000000,12.4400000000,6.2700000000,Justin Hirsh,Quebec,Quebec,Consumer,Office Supplies,Storage & Organization,Eldon Simplefile® Box Office®,Medium Box,0.5700000000,2010-08-09,Not Returned
28,194,2012-04-04,Medium,49,329.0300000000,0.1000000000,Regular Air,-197.2500000000,7.2800000000,7.9800000000,Maria Zettner,Alberta,West,Corporate,Furniture,Office Furnishings,"Master Caster Door Stop, Large Neon Orange",Wrap Bag,0.4200000000,2012-04-06,Not Returned
29,194,2012-04-04,Medium,6,20.1900000000,0.0400000000,Regular Air,-13.4400000000,3.1400000000,1.9200000000,Maria Zettner,Alberta,West,Corporate,Office Supplies,"Scissors, Rulers and Trimmers",Serrated Blade or Curved Handle Hand Letter Openers,Wrap Bag,0.8400000000,2012-04-06,Not Returned
30,195,2010-12-27,Medium,34,1315.7400000000,0.0300000000,Regular Air,260.8700000000,36.5500000000,13.8900000000,Brad Thomas,Yukon,Yukon,Home Office,Office Supplies,Pens & Art Supplies,"Dixon Ticonderoga Core-Lock Colored Pencils, 48-Color Set",Wrap Bag,0.4100000000,2010-12-29,Not Returned
31,197,2011-04-06,High,23,310.5200000000,0.0100000000,Regular Air,33.2200000000,12.9800000000,3.1400000000,Penelope Sewall,Manitoba,Prarie,Home Office,Office Supplies,"Scissors, Rulers and Trimmers","Acme® 8"" Straight Scissors",Small Pack,0.6000000000,2011-04-08,Not Returned
32,224,2009-06-17,Not Specified,25,184.8600000000,0.0900000000,Regular Air,-33.9500000000,7.3800000000,5.2100000000,Bart Folk,Yukon,Yukon,Corporate,Furniture,Office Furnishings,"Eldon® Expressions™ Wood Desk Accessories, Oak",Small Box,0.5600000000,2009-06-18,Not Returned
33,224,2009-06-17,Not Specified,44,267.8500000000,0.0400000000,Regular Air,-65.4300000000,5.9800000000,5.1500000000,Bart Folk,Yukon,Yukon,Corporate,Office Supplies,Paper,Xerox 193,Small Box,0.3600000000,2009-06-18,Not Returned
34,224,2009-06-17,Not Specified,33,528.5000000000,0.0400000000,Regular Air,-149.9200000000,15.4200000000,10.6800000000,Bart Folk,Yukon,Yukon,Corporate,Office Supplies,Storage & Organization,"Decoflex Hanging Personal Folder File, Blue",Small Box,0.5800000000,2009-06-18,Not Returned
35,225,2011-05-24,Critical,24,126.5800000000,0.0600000000,Regular Air,18.2700000000,5.5800000000,0.7000000000,Karen Ferguson,Quebec,Quebec,Home Office,Office Supplies,Pens & Art Supplies,Newell 314,Wrap Bag,0.6000000000,2011-05-25,Not Returned
36,225,2011-05-24,Critical,1,23.7000000000,0.0500000000,Regular Air,-8.9700000000,19.8400000000,4.1000000000,Karen Ferguson,Quebec,Quebec,Home Office,Office Supplies,Pens & Art Supplies,Prismacolor Color Pencil Set,Wrap Bag,0.4400000000,2011-05-26,Not Returned
37,229,2010-12-28,Critical,43,586.1100000000,0.1100000000,Regular Air,98.4400000000,12.6400000000,4.9800000000,Matt Abelman,Nova Scotia,Atlantic,Consumer,Furniture,Office Furnishings,Nu-Dell Executive Frame,Small Pack,0.4800000000,2010-12-30,Not Returned
38,229,2010-12-28,Critical,24,599.1000000000,0.0200000000,Regular Air,3.8200000000,24.9200000000,12.9800000000,Peter Fuller,Saskachewan,Prarie,Consumer,Office Supplies,Binders and Binder Accessories,GBC Standard Therm-A-Bind Covers,Small Box,0.3900000000,2010-12-29,Not Returned
39,230,2010-10-26,Critical,47,2029.7500000000,0.0600000000,Regular Air,320.3700000000,43.9800000000,8.9900000000,Erin Creighton,Ontario,Ontario,Corporate,Office Supplies,Pens & Art Supplies,Boston 1645 Deluxe Heavier-Duty Electric Pencil Sharpener,Small Pack,0.5800000000,2010-10-28,Returned
40,230,2010-10-26,Critical,11,1118.3960000000,0.0600000000,Regular Air,-212.3300000000,125.9900000000,8.0800000000,Erin Creighton,Ontario,Ontario,Corporate,Technology,Telephones and Communication,StarTAC ST7762,Small Box,0.5700000000,2010-10-28,Returned
41,231,2009-09-28,High,2,689.7400000000,0.0600000000,Regular Air,-490.8400000000,363.2500000000,19.9900000000,Sean Braxton,Manitoba,Prarie,Small Business,Office Supplies,Appliances,Hoover WindTunnel™ Plus Canister Vacuum,Small Box,0.5700000000,2009-09-30,Not Returned
42,258,2010-12-28,Critical,21,154.3500000000,0.0000000000,Regular Air,-91.1400000000,6.4800000000,8.7400000000,Liz Willingham,Nova Scotia,Atlantic,Home Office,Office Supplies,Paper,Xerox 1984,Small Box,0.3600000000,2010-12-30,Not Returned
43,258,2010-12-28,Critical,7,201.3600000000,0.0000000000,Delivery Truck,-284.4000000000,20.9800000000,53.0300000000,Liz Willingham,Nova Scotia,Atlantic,Home Office,Office Supplies,Storage & Organization,"Tennsco Lockers, Gray",Jumbo Drum,0.7800000000,2010-12-29,Not Returned
44,258,2010-12-28,Critical,33,216.7700000000,0.0200000000,Regular Air,-55.1100000000,6.5400000000,5.2700000000,Liz Willingham,Quebec,Quebec,Home Office,Office Supplies,Binders and Binder Accessories,Wilson Jones® Four-Pocket Poly Binders,Small Box,0.3600000000,2010-12-30,Not Returned
45,261,2010-06-28,Medium,47,5677.6090000000,0.0400000000,Regular Air,1680.7900000000,140.9900000000,4.2000000000,Sonia Sunley,British Columbia,West,Small Business,Technology,Telephones and Communication,7160,Small Box,0.5900000000,2010-06-29,Not Returned
46,263,2009-05-16,High,25,136.7700000000,0.0900000000,Regular Air,-136.2500000000,5.4000000000,7.7800000000,Paul Lucas,Yukon,Yukon,Corporate,Office Supplies,Binders and Binder Accessories,3M Organizer Strips,Small Box,0.3700000000,2009-05-17,Not Returned
47,290,2009-01-05,Not Specified,24,188.7300000000,0.0500000000,Regular Air,-32.4800000000,7.6400000000,5.8300000000,Dorris Love,Quebec,Quebec,Home Office,Office Supplies,Paper,"Rediform Wirebound ""Phone Memo"" Message Book, 11 x 5-3/4",Wrap Bag,0.3600000000,2009-01-06,Not Returned
48,292,2012-01-12,High,43,412.6200000000,0.0800000000,Regular Air,175.5400000000,9.9000000000,1.3900000000,Valerie Takahito,Saskachewan,Prarie,Consumer,Office Supplies,Envelopes,#6 3/4 Gummed Flap White Envelopes,Small Box,0.3700000000,2012-01-13,Not Returned
49,293,2012-10-01,High,49,10123.0200000000,0.0700000000,Delivery Truck,457.8100000000,208.1600000000,68.0200000000,Barry French,Nunavut,Nunavut,Consumer,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Jumbo Drum,0.5800000000,2012-10-02,Not Returned
50,293,2012-10-01,High,27,244.5700000000,0.0100000000,Regular Air,46.7100000000,8.6900000000,2.9900000000,Barry French,Nunavut,Nunavut,Consumer,Office Supplies,Binders and Binder Accessories,"Cardinal Slant-D® Ring Binder, Heavy Gauge Vinyl",Small Box,0.3900000000,2012-10-03,Not Returned
